"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_827.5660",1.4185e-33,32.848,9.7936e-33,"region_1-region_8; region_3-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_4-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_4-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",2.238
"MZ_826.5606",1.4196e-33,32.848,9.7936e-33,"region_1-region_8; region_3-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_13-region_12",2.6
"MZ_849.5545",1.425e-33,32.846,9.8217e-33,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.725
"MZ_822.5347",1.4604e-33,32.836,1.0057e-32,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.525
"MZ_800.5443",1.669e-33,32.778,1.1482e-32,"region_1-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.516
"MZ_741.5270",1.6702e-33,32.777,1.1482e-32,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.41
"MZ_799.5425",1.6986e-33,32.77,1.1667e-32,"region_1-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.359
"MZ_796.5208",1.7219e-33,32.764,1.1816e-32,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_4-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_7-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.517
"MZ_741.5261",1.8245e-33,32.739,1.2509e-32,"region_3-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",1.209
"MZ_853.6489",1.9315e-33,32.714,1.3232e-32,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2428
"MZ_851.6341",1.9711e-33,32.705,1.3491e-32,"region_1-region_8; region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.01012
"MZ_796.5190",2.0982e-33,32.678,1.4348e-32,"region_1-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_7-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.642
"MZ_851.6349",2.1302e-33,32.672,1.4555e-32,"region_1-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.0721
"MZ_773.5295",2.1799e-33,32.662,1.4881e-32,"region_11-region_8; region_10-region_8; region_5-region_8; region_9-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_12-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.016
"MZ_824.5576",2.2616e-33,32.646,1.5425e-32,"region_3-region_8; region_2-region_1; region_3-region_1; region_10-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.18
"PG_40:1_851.6377_[M+H+H2O]+",2.2991e-33,32.638,1.5668e-32,"region_1-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_12-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2052
"MZ_825.5563",2.4653e-33,32.608,1.6786e-32,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.826
"MZ_773.5224",2.5104e-33,32.6,1.7077e-32,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_11-region_2; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3371
