"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI00959",55.08,91.207,97.398,118.817,0.566,-0.822,0.115,0.288,0.697,0.202
"MSI00960",112.065,157.365,132.552,345.416,0.845,-0.242,0.761,0.828,0.136,0.015
"Chlorine monoxide [M+Na]+",126.647,165.51,137.85,346.178,0.919,-0.122,0.869,0.907,0.074,-0.007
"Oxalic acid [M]+",69.03,119.073,209.583,502.657,0.329,-1.602,0.129,0.302,0.673,0.186
"MSI00963",65.225,76.651,90.556,102.708,0.72,-0.473,0.268,0.44,0.493,0.14
"MSI00964",189.521,39.611,551.7,571.397,0.344,-1.542,0.000681,0.00533,1.45,0.402
"gamma,delta-Bi-O-garcinoic acid [M+H-2H2O]+",115.669,30.311,88.397,113.88,1.308,0.388,0.195,0.373,0.575,-0.177
"Lecithin [M+NH4]+_8",40.936,42.852,57.434,22.916,0.713,-0.489,0.0594,0.209,0.831,0.223
"MSI00967",20.646,23.976,74.125,99.877,0.279,-1.844,0.00454,0.0284,1.228,0.349
"MSI00968",76.811,107.952,181.511,356.835,0.423,-1.241,0.117,0.29,0.693,0.192
"MSI00969",63.548,90.047,80.554,78.148,0.789,-0.342,0.423,0.572,0.357,0.115
"MSI00970",99.966,152.153,75.28,65.106,1.328,0.409,0.402,0.554,0.374,-0.105
"MSI00971",78.298,94.515,252.282,527.89,0.31,-1.688,0.0713,0.225,0.796,0.218
"MSI00972",89.77,102.931,137.853,196.321,0.651,-0.619,0.224,0.402,0.54,0.142
"MSI00973",89.121,99.225,188.747,398.875,0.472,-1.083,0.175,0.352,0.602,0.172
"MSI00974",72.311,86.387,139.278,202.149,0.519,-0.946,0.0898,0.256,0.75,0.225
"MSI00975",115.25,153.848,111.853,150.465,1.03,0.043,0.929,0.951,0.04,-0.011
"MSI00976",103.507,109.14,244.56,496.26,0.423,-1.24,0.121,0.296,0.686,0.186
"MSI00977",31.875,20.422,261.73,215.036,0.122,-3.038,1.03e-07,1.55e-06,2.129,0.613
"MSI00978",53.562,75.94,71.689,43.298,0.747,-0.421,0.245,0.418,0.517,0.147
"MSI00979",80.149,112.347,120.41,200.382,0.666,-0.587,0.325,0.489,0.438,0.142
"MSI00980",83.002,101.322,80.674,62.942,1.029,0.041,0.912,0.938,0.049,0.003
"MSI00981",112.418,143.826,125.482,176.783,0.896,-0.159,0.747,0.816,0.144,0.033
"MSI00982",96.38,133.421,146.051,386.65,0.66,-0.6,0.495,0.622,0.305,0.096
"MSI00983",70.832,112.821,190.098,414.768,0.373,-1.424,0.122,0.296,0.685,0.191
"WE 17:0 [M+NH4]+",354.528,213.483,141.364,294.211,2.508,1.326,0.00152,0.0109,1.361,-0.388
"1173-13-3 [M+H]+",290.691,59.014,71.763,70.501,4.051,2.018,4.48e-20,8.97e-18,3.027,-0.856
"Hycanthone [M+K]+",156.053,144.253,105.223,164.195,1.483,0.569,0.193,0.371,0.578,-0.162
"Lecithin [M+H]+_6",167.238,55.185,95.502,95.79,1.751,0.808,0.000505,0.00409,1.481,-0.404
"Lecithin [M-H2O+NH4]+_4",71.321,42.67,100.311,142.414,0.711,-0.492,0.274,0.445,0.486,0.161
"Sulfuryl chloride fluoride [M+H-H2O]+",69.814,76.555,130.762,220.183,0.534,-0.905,0.144,0.318,0.647,0.181
"Pentanamide [M]+",104.251,140.461,168.472,404.833,0.619,-0.692,0.4,0.552,0.375,0.11
"C3H7F [M+K]+",109.564,144.431,280.044,633.745,0.391,-1.354,0.143,0.316,0.649,0.175
"MSI00992",101.906,122.449,284.4,553.432,0.358,-1.481,0.0734,0.228,0.79,0.218
"MSI00993",72.562,102.05,133.738,187.186,0.543,-0.882,0.11,0.282,0.708,0.195
"MSI00994",146.227,161.656,138.084,194.699,1.059,0.083,0.856,0.897,0.081,-0.028
"Potassium phosphinate [M]+",81.938,84.799,125.591,166.523,0.652,-0.616,0.191,0.37,0.58,0.166
"MSI00996",133.707,128.965,107.802,218.195,1.24,0.311,0.565,0.675,0.257,-0.074
"MSI00997",67.206,72.146,231.217,358.785,0.291,-1.783,0.0138,0.0745,1.075,0.31
"hydrogen bromide [M+Na]+",105.666,118.02,266.061,560.847,0.397,-1.332,0.118,0.292,0.691,0.202
"MSI00999",100.613,131.062,156.131,331.568,0.644,-0.634,0.382,0.536,0.39,0.104
"MSI01000",135.323,161.681,116.924,199.736,1.157,0.211,0.687,0.771,0.18,-0.046
"MSI01001",123.248,151.253,116.058,199.446,1.062,0.087,0.871,0.908,0.072,-0.012
"MSI01002",112.635,131.708,222.803,479.387,0.506,-0.984,0.215,0.392,0.551,0.184
"MSI01003",82.202,96.595,156.067,299.301,0.527,-0.925,0.189,0.367,0.583,0.16
"MSI01004",31.229,26.845,112.618,165.84,0.277,-1.85,0.008,0.0468,1.152,0.353
"MSI01005",64.762,103.428,116.371,273.993,0.557,-0.846,0.323,0.487,0.44,0.118
"MFC [M+K]+",94.819,97.876,180.755,389.451,0.525,-0.931,0.231,0.406,0.533,0.137
"MSI01007",73.883,87.488,155.825,319.954,0.474,-1.077,0.167,0.343,0.613,0.169
"MSI01008",69.715,100.968,81.731,80.692,0.853,-0.229,0.601,0.706,0.234,0.07
"MSI01009",39.154,40.655,138.696,230.694,0.282,-1.825,0.0192,0.0992,1.024,0.294
"MSI01010",66.058,118.383,172.034,349.563,0.384,-1.381,0.109,0.282,0.708,0.186
"mutalomycin sodium salt [M+NH4]+",91.504,93.366,60.691,25.219,1.508,0.592,0.0764,0.234,0.782,-0.24
"TG(52:10) [M+H]+",42.243,49.504,57.434,22.916,0.736,-0.443,0.12,0.294,0.688,0.193
"MSI01013",59.223,77.656,116.881,214.735,0.507,-0.981,0.158,0.333,0.626,0.18
"MSI01014",45.728,68.839,144.215,311.096,0.317,-1.657,0.0853,0.248,0.76,0.21
"MSI01015",50.945,80.217,205.585,387.344,0.248,-2.013,0.0307,0.137,0.948,0.272
"MSI01016",92.878,112.13,284.4,553.432,0.327,-1.614,0.0596,0.21,0.83,0.229
"MSI01017",127.517,149.692,117.35,176.7,1.087,0.12,0.805,0.862,0.11,-0.019
"F [M]+",100.989,115.705,204.317,445.686,0.494,-1.017,0.209,0.387,0.558,0.162
"MSI01019",114.401,139.519,231.47,516.762,0.494,-1.017,0.221,0.399,0.544,0.155
"2-Sulfamoylacetic Acid [M+H-2H2O]+",29.213,18.506,233.637,192.004,0.125,-3,1.14e-07,1.69e-06,2.124,0.614
"MSI01021",115.047,151.74,180.469,390.812,0.637,-0.65,0.381,0.535,0.391,0.107
"MSI01022",146.819,168.829,170.216,467.578,0.863,-0.213,0.791,0.85,0.118,0.032
"C3H7NO3 [M+H]+",72.232,84.004,141.137,251.062,0.512,-0.966,0.146,0.319,0.644,0.177
"&beta [M+Na]+",79.707,88.806,79.615,64.496,1.001,0.002,0.996,0.997,0.002,-0.015
"MSI01025",63.468,85.591,203.237,365.317,0.312,-1.679,0.0391,0.16,0.906,0.252
"MSI01026",59.373,76.127,136.403,263.214,0.435,-1.2,0.117,0.29,0.694,0.193
"C [M+H-H2O]+",124.939,164.355,137.85,346.178,0.906,-0.142,0.849,0.893,0.085,-0.005
"MSI01028",72.791,38.961,477.62,252.125,0.152,-2.714,8.16e-13,2.74e-11,2.636,0.762
"MSI01029",70.268,78.02,91.343,122.144,0.769,-0.378,0.414,0.565,0.364,0.107
"MSI01030",28.887,40.433,146.512,176.324,0.197,-2.342,0.000493,0.00401,1.484,0.449
"C [M+K]+",31.11,58.888,60.73,31.894,0.512,-0.965,0.015,0.08,1.062,0.315
"methanesulfonyl[({[(methyldisulfanyl)methyl]sulf... [M+Na]+",19.592,15.274,166.802,149.352,0.117,-3.09,6.4e-07,8.55e-06,2.019,0.594
"MSI01033",14.385,9.387,68.42,51.919,0.21,-2.25,2.48e-07,3.54e-06,2.078,0.591
"MSI01034",49.988,79.743,138.443,321.294,0.361,-1.47,0.136,0.31,0.661,0.194
"Lecithin [M]+_16",174.493,20.259,196.654,221.794,0.887,-0.172,0.576,0.684,0.25,0.085
"MSI01036",26.565,55.864,57.434,22.916,0.463,-1.112,0.00527,0.0326,1.209,0.345
"MSI01037",118.898,118.765,140.333,320.277,0.847,-0.239,0.724,0.801,0.158,0.029
"MSI01038",69.421,101.531,160.286,300.594,0.433,-1.207,0.11,0.282,0.707,0.193
"MSI01039",82.039,108.622,183.691,356.533,0.447,-1.163,0.128,0.302,0.674,0.188
"MSI01040",66.701,92.751,130.874,178.362,0.51,-0.972,0.0758,0.232,0.784,0.221
"MSI01041",36.91,57.558,144.215,311.096,0.256,-1.966,0.0596,0.21,0.83,0.23
"MSI01042",75.567,91.682,110.784,188.124,0.682,-0.552,0.345,0.504,0.421,0.114
"MSI01043",101.336,109.563,138.018,197.062,0.734,-0.446,0.361,0.517,0.407,0.108
"MSI01044",136.274,158.621,138.084,194.699,0.987,-0.019,0.968,0.978,0.018,0.001
"MSI01045",126.78,149.304,192.672,472.51,0.658,-0.604,0.455,0.591,0.333,0.096
"MSI01046",113.2,166.402,124.458,360.682,0.91,-0.137,0.873,0.909,0.071,0.019
"MSI01047",115.878,119.914,89.274,135.121,1.298,0.376,0.408,0.559,0.369,-0.108
"MSI01048",145.607,104.459,164.166,319.767,0.887,-0.173,0.756,0.824,0.139,0.04
"MSI01049",104.12,166.62,131.101,319.309,0.794,-0.332,0.673,0.762,0.188,0.046
"MSI01050",33.795,55.301,172.752,348.866,0.196,-2.354,0.0297,0.134,0.954,0.271
"HS [M+Na]+",85.768,102.852,89.221,117.476,0.961,-0.057,0.901,0.93,0.056,-0.002
"MSI01052",67.069,122.315,159.16,328.103,0.421,-1.247,0.142,0.314,0.651,0.191
"MSI01053",58.457,68.966,157.796,330.157,0.37,-1.433,0.101,0.27,0.726,0.196
"oxidized dinoflagellate luciferin [M+Na]+",145.332,101.033,70.709,44.18,2.055,1.039,0.000303,0.00263,1.533,-0.439
"MSI01055",41.368,41.763,143.987,239.421,0.287,-1.799,0.02,0.102,1.018,0.3
"Brevetoxin B, 43-chloro-41-deformyl-41,43-dihydr... [M+K]+",28.395,11.674,73.962,53.308,0.384,-1.381,1.37e-05,0.000148,1.804,0.523
"MSI01057",99.252,138.177,178.795,379.55,0.555,-0.849,0.27,0.442,0.491,0.123
"MSI01058",62.98,90.332,116.22,215.02,0.542,-0.884,0.201,0.38,0.567,0.164
"&beta [M]+_1",103.895,151.811,78.191,67.053,1.329,0.41,0.384,0.538,0.388,-0.11
"MSI01060",123.88,118.594,162.672,337.35,0.762,-0.393,0.542,0.657,0.272,0.06
"chloroformic acid [M+Na]+",71.775,87.841,221.685,437.083,0.324,-1.627,0.0618,0.214,0.823,0.238
"&alpha [M+H-H2O]+",66.11,80.917,166.409,286.3,0.397,-1.332,0.0611,0.212,0.825,0.232
"MSI01063",128.497,142.652,207.159,432.874,0.62,-0.689,0.333,0.496,0.431,0.112
"MSI01064",84.692,103.903,239.85,497.336,0.353,-1.502,0.0891,0.255,0.751,0.206
"MSI01065",85.688,101.061,225.469,471.626,0.38,-1.396,0.106,0.277,0.715,0.203
"MSI01066",77.677,85.42,133.077,203.169,0.584,-0.777,0.16,0.335,0.623,0.181
"MSI01067",47.403,41.503,301.068,278.659,0.157,-2.667,3.53e-06,4.18e-05,1.904,0.552
"MSI01068",119.506,138.878,119.239,199.413,1.002,0.003,0.995,0.997,0.003,0.004
"MSI01069",156.07,109.478,169.314,337.897,0.922,-0.118,0.834,0.883,0.094,0.028
"MSI01070",159.335,124.403,246.939,484.342,0.645,-0.632,0.326,0.489,0.438,0.127
"MSI01071",61.582,75.58,126.063,260.116,0.489,-1.034,0.183,0.36,0.591,0.166
"thiophenol [M]+",83.933,99.487,94.635,119.771,0.887,-0.173,0.699,0.78,0.173,0.03
"B [M+K]+",72.38,80.654,111.587,182.941,0.649,-0.624,0.272,0.443,0.489,0.127
"MSI01074",85.555,107.46,118.098,242.848,0.724,-0.465,0.491,0.62,0.308,0.078
"MSI01075",87.186,114.369,118.738,258.783,0.734,-0.446,0.53,0.649,0.28,0.071
"MSI01076",131.134,148.39,174.518,515.338,0.751,-0.412,0.649,0.744,0.203,0.043
"MSI01077",128.24,189.793,120.403,142.137,1.065,0.091,0.852,0.895,0.083,-0.037
"Mahanimbine [M]+",281.182,34.879,1002.572,565.428,0.28,-1.834,9.55e-10,1.84e-08,2.367,0.665
"Fumonisin B4 [M]+",29.505,25.909,64.664,51.997,0.456,-1.132,0.0011,0.00819,1.398,0.393
"MSI01080",19.969,31.219,57.434,22.916,0.348,-1.524,8.49e-07,1.11e-05,2.001,0.573
"PG(LTE4/22:4(7Z,10Z,13Z,16Z)) [M+H]+",20.976,38.716,105.494,275.365,0.199,-2.33,0.0905,0.257,0.748,0.207
"MSI01082",59.665,77.116,116.881,214.735,0.51,-0.97,0.161,0.336,0.622,0.179
"MSI01083",95.734,110.866,278.791,528.915,0.343,-1.542,0.06,0.21,0.829,0.229
"MSI01084",81.242,108.188,97.153,107.009,0.836,-0.258,0.556,0.667,0.263,0.078
"MSI01085",112.456,142.707,117.866,175.181,0.954,-0.068,0.893,0.924,0.06,0.016
"MSI01086",122.607,114.004,154.945,322.133,0.791,-0.338,0.594,0.701,0.238,0.05
"MSI01087",81.064,115.774,271.315,575.841,0.299,-1.743,0.0717,0.226,0.795,0.227
"MSI01088",106.002,123.958,180.313,355.895,0.588,-0.766,0.269,0.441,0.492,0.121
"MFCD000 [M+H]+",54.262,71.069,193.75,310.199,0.28,-1.836,0.0159,0.0837,1.053,0.304
"MSI01090",124.488,144.54,196.183,407.488,0.635,-0.656,0.352,0.51,0.415,0.106
"MSI01091",117.617,130.973,96.45,135.128,1.22,0.286,0.527,0.647,0.282,-0.084
"Chlorosulfonyl isocyanate [M+H-2H2O]+",55.629,97.361,155.222,383.882,0.358,-1.48,0.16,0.335,0.623,0.181
"MSI01093",74.835,92.668,122.571,268.04,0.611,-0.712,0.345,0.504,0.421,0.117
"MSI01094",44.909,53.805,82.292,67.769,0.546,-0.874,0.0174,0.0908,1.039,0.287
"MSI01095",78.664,100.47,123.967,218.133,0.635,-0.656,0.29,0.46,0.471,0.119
"3,5-dichlorophenyl [M+H-2H2O]+",67.364,37.591,492.915,267.996,0.137,-2.871,1.12e-12,3.6e-11,2.625,0.758
"MSI01097",77.534,104.007,119.588,283.341,0.648,-0.625,0.434,0.58,0.349,0.099
"MSI01098",129.542,165.927,209.107,438.228,0.62,-0.691,0.341,0.502,0.424,0.12
"MSI01099",110.311,138.439,181.302,358.939,0.608,-0.717,0.301,0.47,0.461,0.127
"MSI01100",109.553,160.159,165.789,387.657,0.661,-0.598,0.451,0.59,0.336,0.1
"MSI01101",81.549,99.037,184.551,450.087,0.442,-1.178,0.211,0.389,0.556,0.149
"C [M+Na]+",87.145,81.379,354.827,323.988,0.246,-2.026,2.71e-05,0.000285,1.749,0.509
"91-33-8 [M+Na]+",57.659,90.393,68.723,41.841,0.839,-0.253,0.532,0.65,0.279,0.102
"DNA [M+H]+",304.593,115.509,78.158,111.745,3.897,1.962,4.46e-11,1.03e-09,2.494,-0.709
"MSI01105",61.835,90.874,65.126,41.118,0.949,-0.075,0.853,0.895,0.083,0.029
"carbonic acid [M+K]+",118.461,151.919,168.472,404.833,0.703,-0.508,0.515,0.637,0.29,0.088
"MSI01107",71.864,102.74,93.424,105.449,0.769,-0.379,0.411,0.561,0.367,0.108
"MSI01108",129.41,147.508,109.839,171.271,1.178,0.237,0.626,0.726,0.218,-0.053
"MSI01109",57.799,47.733,147.603,214.548,0.392,-1.353,0.0242,0.117,0.988,0.276
"nitrate [M+H]+",70.793,76.853,165.711,280.962,0.427,-1.227,0.0701,0.223,0.799,0.232
"96-45-7 [M-H2O+NH4]+",113.21,125.154,208.636,445.328,0.543,-0.882,0.248,0.421,0.514,0.149
"MSI01112",120.369,165.227,361.329,826.865,0.333,-1.586,0.111,0.283,0.705,0.206
"MSI01113",54.223,71.085,171.554,285.777,0.316,-1.662,0.0278,0.128,0.965,0.272
"MSI01114",82.165,100.162,152.807,273.231,0.538,-0.895,0.175,0.351,0.602,0.167
"MSI01115",85.587,101.159,228.214,470.892,0.375,-1.415,0.0989,0.269,0.73,0.207
"MSI01116",66.662,76.686,130.005,192.155,0.513,-0.964,0.0883,0.252,0.753,0.218
"MSI01117",131.672,169.765,186.13,417.139,0.707,-0.499,0.496,0.624,0.303,0.084
"MSI01118",76.776,104.488,124.787,231.172,0.615,-0.701,0.289,0.458,0.472,0.136
"MSI01119",60.1,72.329,75.696,51.242,0.794,-0.333,0.323,0.487,0.44,0.134
"Benzenediazonium [M]+",130.136,102.226,174.059,327.395,0.748,-0.42,0.472,0.603,0.321,0.096
"MSI01121",100.109,122.316,186.286,415.848,0.537,-0.896,0.265,0.438,0.496,0.134
"MSI01122",92.151,98.37,156.82,298.972,0.588,-0.767,0.25,0.423,0.512,0.138
"MSI01123",69.547,86.899,152.258,264.748,0.457,-1.131,0.0982,0.268,0.731,0.207
"MSI01124",52.566,55.055,134.683,213.056,0.39,-1.357,0.0388,0.159,0.908,0.254
"MSI01125",34.623,42.724,139.505,229.608,0.248,-2.01,0.0136,0.0739,1.077,0.309
"MSI01126",72.501,113.765,121.018,169.958,0.599,-0.739,0.185,0.363,0.589,0.171
"MSI01127",112.877,144.693,125.482,176.783,0.9,-0.153,0.756,0.824,0.139,0.031
"MSI01128",69.109,89.845,206.751,364.698,0.334,-1.581,0.0423,0.167,0.893,0.25
"MSI01129",108.893,119.11,172.969,365.23,0.63,-0.668,0.349,0.508,0.417,0.102
"MSI01130",81.904,140.984,226.281,492.989,0.362,-1.466,0.116,0.289,0.695,0.197
"Glycerol alpha-monochlorohydrin [M]+",57.42,35.148,432.611,206.302,0.133,-2.913,8.64e-15,5.13e-13,2.769,0.8
"MSI01132",54.554,59.165,112.52,227.903,0.485,-1.044,0.169,0.344,0.611,0.18
"MSI01133",67.78,83.789,189.499,361.129,0.358,-1.483,0.068,0.222,0.805,0.219
"MSI01134",65.65,52.157,341.212,262.92,0.192,-2.378,2.28e-07,3.28e-06,2.083,0.602
"MSI01135",52.123,37.724,312.973,237.666,0.167,-2.586,6.65e-08,1.04e-06,2.154,0.624
"MSI01136",52.595,37.272,308.072,248.281,0.171,-2.55,2.86e-07,4e-06,2.069,0.598
"MSI01137",110.926,166.251,85.246,87.304,1.301,0.38,0.442,0.584,0.343,-0.082
"T [M+H]+",61.033,93.625,89.677,80.651,0.681,-0.555,0.195,0.373,0.576,0.16
"MSI01139",66.559,97.453,88.2,80.055,0.755,-0.406,0.335,0.497,0.429,0.125
"Furan-2,5-dicarbaldehyde [M+K]+",638.476,42.707,297.82,674.424,2.144,1.1,0.0059,0.036,1.194,-0.351
"3 [M+NH4]+",75.188,96.933,60.274,27.172,1.247,0.319,0.405,0.556,0.371,-0.118
"MSI01142",89.414,131.474,186.42,355.562,0.48,-1.06,0.153,0.327,0.634,0.176
"MSI01143",53.631,91.134,205.115,451.386,0.261,-1.935,0.0675,0.221,0.806,0.234
"C2F4 [M+H]+",74.081,78.378,109.033,188.493,0.679,-0.558,0.337,0.499,0.428,0.115
"MSI01145",101.148,151.509,75.28,65.106,1.344,0.426,0.378,0.534,0.393,-0.111
"MSI01146",90.861,115.71,209.369,389.108,0.434,-1.204,0.104,0.274,0.72,0.199
"MSI01147",75.472,91.242,93.424,105.449,0.808,-0.308,0.469,0.601,0.323,0.097
"MSI01148",128.307,125.102,111.161,218.559,1.154,0.207,0.701,0.782,0.171,-0.05
"MSI01149",127.015,163.104,133.478,267.228,0.952,-0.072,0.907,0.935,0.052,0.022
"MSI01150",89.218,106.58,109.607,150.758,0.814,-0.297,0.534,0.65,0.277,0.086
"MSI01151",87.332,103.578,152.807,273.231,0.572,-0.807,0.21,0.388,0.557,0.154
"MSI01152",47.189,41.816,301.068,278.659,0.157,-2.674,3.49e-06,4.13e-05,1.905,0.552
"MSI01153",127.017,171.754,180.193,413.007,0.705,-0.505,0.504,0.629,0.298,0.082
"MSI01154",127.509,171.432,183.947,417.643,0.693,-0.529,0.482,0.613,0.314,0.087
"MSI01155",76.788,104.481,173.776,350.83,0.442,-1.178,0.139,0.313,0.656,0.181
"1,2-difluoroethane [M+K]+",146.918,118.351,182.485,387.546,0.805,-0.313,0.621,0.723,0.221,0.065
"MSI01157",78.469,139.114,210.262,486.081,0.373,-1.422,0.145,0.318,0.645,0.18
"MSI01158",57.445,88.758,129.776,280.069,0.443,-1.176,0.169,0.344,0.611,0.163
"Trientine [M+H-2H2O]+",72.408,121.566,74.226,48.108,0.976,-0.036,0.938,0.957,0.035,-0.001
"MSI01160",117.29,159.339,209.107,438.228,0.561,-0.834,0.27,0.442,0.491,0.14
"MSI01161",130.183,162.151,184.219,572.816,0.707,-0.501,0.609,0.712,0.228,0.053
"MSI01162",110.758,129.969,87.526,114.319,1.265,0.34,0.451,0.589,0.336,-0.112
"MSI01163",81.254,99.852,184.551,450.087,0.44,-1.184,0.21,0.388,0.557,0.151
"MSI01164",69.216,69.728,131.395,211.799,0.527,-0.925,0.12,0.294,0.689,0.197
"MSI01165",97.594,110.103,172.931,442.322,0.564,-0.825,0.353,0.511,0.413,0.12
"HMP [M+H]+",60.002,90.56,74.88,91.804,0.801,-0.32,0.516,0.638,0.29,0.087
"PE(31:0) [M]+",27.564,19.666,66.938,60.75,0.412,-1.28,9e-04,0.00679,1.42,0.402
"MSI01168",37.766,57.26,144.215,311.096,0.262,-1.933,0.0616,0.213,0.824,0.228
"3-bromoprop-1-yne [M+H-H2O]+",62.88,74.037,130.762,220.183,0.481,-1.056,0.103,0.274,0.72,0.204
"MSI01170",80.335,95.867,252.564,541.012,0.318,-1.653,0.0811,0.241,0.77,0.211
"MSI01171",88.964,113.986,193.481,375.648,0.46,-1.121,0.137,0.311,0.659,0.175
"MSI01172",110.174,119.367,101.681,126.216,1.083,0.116,0.783,0.845,0.123,-0.054
"MSI01173",95.829,105.652,141.787,196.818,0.676,-0.565,0.249,0.422,0.513,0.132
"MSI01174",133.959,156.706,138.084,194.699,0.97,-0.044,0.926,0.948,0.042,0.007
"MSI01175",116.596,130.077,190.38,458.063,0.612,-0.707,0.384,0.538,0.388,0.11
"Ru [M]+",72.125,76.824,188.715,303.941,0.382,-1.388,0.0395,0.16,0.905,0.252
"MSI01177",110.127,138.127,159.927,334.598,0.689,-0.538,0.439,0.583,0.345,0.09
"MSI01178",117.286,160.432,130.519,268.346,0.899,-0.154,0.812,0.867,0.107,0.038
"MSI01179",85.008,86.67,106.253,147.412,0.8,-0.322,0.485,0.614,0.312,0.09
"MSI01180",132.572,163.177,113.92,199.766,1.164,0.219,0.684,0.769,0.182,-0.049
"MSI01181",101.803,133.809,224.031,520.191,0.454,-1.138,0.203,0.381,0.566,0.189
"MSI01182",95.846,96.637,122.019,274.75,0.786,-0.348,0.613,0.715,0.226,0.062
"MSI01183",122.995,169.738,249.323,651.527,0.493,-1.019,0.293,0.462,0.468,0.135
"Pd [M]+",52.625,90.757,155.222,383.882,0.339,-1.56,0.146,0.319,0.644,0.186
"MSI01185",78.296,91.637,122.571,268.04,0.639,-0.647,0.38,0.535,0.391,0.108
"MSI01186",73.66,113.73,121.018,169.958,0.609,-0.716,0.195,0.373,0.575,0.168
"MSI01187",71.943,82.986,93.213,154.35,0.772,-0.374,0.495,0.622,0.305,0.082
"MSI01188",88.574,153.486,158.758,514.128,0.558,-0.842,0.462,0.596,0.328,0.1
"oxamate [M+Na]+",77.345,111.15,108.063,142.9,0.716,-0.482,0.341,0.502,0.424,0.099
"NSC [M]+",70.279,103.763,103.199,140.308,0.681,-0.554,0.29,0.46,0.471,0.115
"MSI01191",73.35,115.567,117.441,248.773,0.625,-0.679,0.367,0.523,0.402,0.118
"&alpha [M]+",1388.669,92.886,302.526,630.97,4.59,2.199,6.18e-14,2.78e-12,2.715,-0.782
"MSI01193",82.18,96.745,206.687,427.374,0.398,-1.331,0.113,0.286,0.701,0.196
"MSI01194",47.881,58.166,92.231,101.366,0.519,-0.946,0.0357,0.15,0.922,0.257
"P1,P4-Bis(5'-uridyl) tetraphosphate [M+H-H2O]+",22.331,29.765,112.234,237.588,0.199,-2.329,0.0377,0.155,0.913,0.257
"Parisvanioside A [M+K]+",20.563,26.212,63.274,37.121,0.325,-1.622,1.53e-06,1.93e-05,1.962,0.551
"(2-{[3-hydroxy-2-(tetracosa-5,8,11,14-tetraenami... [M]+",74.705,4.997,193.272,144.813,0.387,-1.371,1.93e-05,0.000203,1.777,0.529
"1-O-(6-thio-alpha-D-galactopyranosyl)-N-hexacosa... [M+H]+",67.909,94.249,57.434,22.916,1.182,0.242,0.543,0.658,0.271,-0.099
"(2-{[(2R)-2-[(7Z,10Z,13Z,16Z)-docosa-7,10,13,16-... [M+K]+",28.069,17.291,57.434,22.916,0.489,-1.033,2.55e-07,3.62e-06,2.076,0.594
"heptane [M]+",104.543,113.733,173.357,380.934,0.603,-0.73,0.331,0.495,0.433,0.105
"MSI01201",78.477,121.011,187.717,355.92,0.418,-1.258,0.105,0.277,0.716,0.198
"MSI01202",60.625,76.926,116.881,214.735,0.519,-0.947,0.168,0.343,0.612,0.176
"3-oxopropane-1-sulfonate [M+H-2H2O]+",63.234,74.605,163.117,280.435,0.388,-1.367,0.0561,0.201,0.842,0.245
"9-Aza-10-boradecalin [M+H-2H2O]+",105.104,116.194,199.589,423.55,0.527,-0.925,0.228,0.405,0.536,0.147
"MSI01205",107.772,115.702,134.369,222.175,0.802,-0.318,0.55,0.663,0.267,0.06
"MSI01206",75.294,109.273,291.659,559.208,0.258,-1.954,0.0356,0.15,0.923,0.265
"MSI01207",84.001,109.806,265.904,484.939,0.316,-1.662,0.0427,0.168,0.891,0.25
"MSI01208",84.353,109.904,186.617,441.697,0.452,-1.146,0.208,0.386,0.559,0.167
"MSI01209",84.789,96.917,131.802,257.622,0.643,-0.636,0.338,0.5,0.427,0.119
"MSI01210",80.362,98.467,226.651,471.15,0.355,-1.496,0.0906,0.257,0.748,0.212
"MSI01211",86.084,119.569,186.008,388.464,0.463,-1.111,0.169,0.345,0.61,0.184
"H2Se [M+Na]+",103.302,125.593,222.803,479.387,0.464,-1.109,0.177,0.354,0.598,0.196
"MSI01213",124.805,165.557,108.63,136.942,1.149,0.2,0.672,0.761,0.189,-0.033
"3<i>H</i>-pyrrole [M+K]+",37.585,35.082,90.771,123.035,0.414,-1.272,0.0219,0.109,1.003,0.306
"MSI01215",86.891,132.429,134.818,319.466,0.645,-0.634,0.436,0.58,0.347,0.092
"MSI01216",124.676,167.61,82.873,68.685,1.504,0.589,0.197,0.374,0.574,-0.185
"MSI01217",98.34,140.148,95.931,77.518,1.025,0.036,0.932,0.953,0.038,-0.032
"Bromoethane [M]+",69.162,89.821,206.751,364.698,0.335,-1.58,0.0424,0.167,0.892,0.25
"Isoxazolin-5-one [M+Na]+",63.014,88.311,233.758,439.543,0.27,-1.891,0.0351,0.149,0.925,0.252
"MSI01220",64.037,91.107,80.903,70.315,0.792,-0.337,0.41,0.561,0.367,0.112
"MSI01221",68.011,100.525,80.903,70.315,0.841,-0.25,0.554,0.666,0.264,0.083
"MSI01222",48.939,54.792,104.07,177.487,0.47,-1.089,0.0982,0.268,0.731,0.201
"MSI01223",46.225,59.62,82.292,67.769,0.562,-0.832,0.0273,0.127,0.967,0.272
"MSI01224",79.098,84.036,106.395,174.045,0.743,-0.428,0.427,0.575,0.354,0.083
"MSI01225",53.822,78.652,206.061,395.516,0.261,-1.937,0.0367,0.153,0.918,0.263
"MSI01226",56.529,89.552,169.787,394.991,0.333,-1.587,0.119,0.292,0.691,0.199
"MSI01227",134.194,177.022,159.627,400.671,0.841,-0.25,0.744,0.814,0.146,0.054
